uniq_obs_int_id	sample_sdi	n	n_mmdbs	n_nr_mmdbs	cdds	sfs_ids	cdds_B	sfs_ids_B	single	self_lca	lca_level	lca_tax	lca_name	lca_depth
646377	(48168, 3)	506	219	11	COG2351,Peptidase_M14NE-CP-C_like,TLP_HIUase,TLP_Transthyretin,Transthyretin_like	271890			0	0	no rank	131567	cellular organisms	2
668915	(351370, 114)	10283	2642	992	IGc1,IGv,Ig,Ig1_CD4,Ig1_LILRB1_like,Ig1_MRC-OX-2_like,Ig1_Necl-1,Ig1_Nectin-1_like,Ig1_Nectin-3_like,Ig1_Nectin-4_like,Ig1_PVR_like,Ig2_FGFR,Ig2_FcgammaR_like,Ig2_Nectin-2_like,Ig2_VCAM-1,Ig3_Contactin_like,Ig4_SCFR,IgC,IgC_CH1,IgC_CH2,IgC_CH2_IgE,IgC_CH3,IgC_CH4,IgC_L,IgC_MHC_II_alpha,IgC_MHC_II_beta,IgC_MHC_I_alpha3,IgC_TCR_alpha,IgC_TCR_beta,IgC_TCR_delta,IgC_TCR_gamma,IgC_beta2m,IgV,IgV_CD8_beta,IgV_CTLA-4,IgV_H,IgV_L_kappa,IgV_L_lambda,IgV_TCR_alpha_like,IgV_TCR_beta,IgV_TCR_delta,IgV_TCR_gamma,Ig_2,Ig_CD3_epsilon,Ig_CD8_alpha,Ig_CEACAM_D1,Ig_CEACAM_D1_like,Ig_FcalphaRI,Ig_MOG_like,Ig_Myomesin_like_C,Ig_P0,Ig_SLAM-CD84_like_N,Ig_Titin_like,Ig_pIgR,V-set,ig	271729	IGv,Ig,Ig1_CD4,Ig1_LILRB1_like,Ig1_MRC-OX-2_like,Ig1_PVR_like,Ig2_Contactin-2-like,Ig2_FGFR,Ig2_FcgammaR_like,Ig2_Nectin-2_like,Ig2_VCAM-1,Ig3_FGFR,Ig4_SCFR,IgC_CH1,IgC_CH2,IgC_CH2_IgE,IgC_CH3,IgC_L,IgC_MHC_II_alpha,IgC_MHC_II_beta,IgC_MHC_I_alpha3,IgC_TCR_alpha,IgC_TCR_beta,IgC_TCR_delta,IgC_TCR_gamma,IgC_beta2m,IgV,IgV_CD8_beta,IgV_CTLA-4,IgV_H,IgV_L_kappa,IgV_L_lambda,IgV_TCR_alpha_like,IgV_TCR_beta,IgV_TCR_delta,IgV_TCR_gamma,Ig_CD3_gamma_delta,Ig_CD8_alpha,Ig_CEACAM_D1_like,Ig_FcalphaRI,Ig_SLAM-CD84_like_N,Ig_Titin_like,Ig_pIgR,ig		0	0	no rank	1	root	2
524381	(538270, 1)	1	1	1	rpmE	260391	Ribosomal_L5_C	250045	1	1	no rank	300852	Thermus thermophilus HB8	10
532395	(542726, 9)	122	122	122	Ribosomal_L5_C	250045	Ribosomal_L31,rpmE	260391	0	0	no rank	131567	cellular organisms	2
667696	(534993, 5)	209	209	198	Ribosomal_L4,rplD	260356	Ribosomal_L18e,rplO	264513	0	0	no rank	131567	cellular organisms	2
524386	(538295, 2)	1	1	1	rplO	264513	rplD	260356	1	1	no rank	300852	Thermus thermophilus HB8	10
116395	(326872, 1)	4	4	2	TFIIA_gamma_N	261765	TFIIA_alpha_beta_like	272103	0	0	no rank	33154	Opisthokonta	4
410372	(617294, 6)	58	58	58	Ribosomal_L16_L10e	260376	rpmA	260380	0	0	superkingdom	2	Bacteria	3
667767	(555821, 1)	222	222	207	Ribosomal_L20	260401	Ribosomal_L21p,rplU	241828	0	0	no rank	131567	cellular organisms	2
667768	(543026, 3)	221	221	206	Ribosomal_L21p,rplU	241828	Ribosomal_L20	260401	0	0	no rank	131567	cellular organisms	2
667808	(617223, 3)	143	143	133	Ribosomal_L32p,RpmF,rpmF	271652	L17,Ribosomal_L17,rplQ	260379	0	0	no rank	131567	cellular organisms	2
379902	(180959, 11)	5	3	3	bacteriophage_T4-like_lysozyme,endolysin_autolysin	271440			0	0	order	28883	Caudovirales	4
230606	(450275, 3)	3	2	1	bacteriophage_T4-like_lysozyme	271440			0	1	no rank	10665	Enterobacteria phage T4	9
545817	(715972, 10)	307	307	228	PRK14548,Ribosomal_L23,rplW	241787	Ribosomal_L29_HIP	271684	0	0	no rank	131567	cellular organisms	2
667763	(711085, 1)	186	186	174	Ribosomal_L32p,RpmF,rpmF	271652	Ribosomal_L22	260357	0	0	no rank	131567	cellular organisms	2
667766	(527415, 5)	182	182	170	Ribosomal_L20	260401	Ribosomal_L13	260361	0	0	no rank	131567	cellular organisms	2
660499	(487991, 5)	753	149	19	Neur_chan_LBD	251626			0	0	no rank	131567	cellular organisms	2
592510	(544737, 2)	85	85	83	Ribosomal_TL5_C	258831	Ribosomal_L16_L10e	260376	0	0	class	188787	Deinococci	5
627164	(244136, 3)	218	34	22	4HBT,BFIT_BACH	271497			0	0	no rank	131567	cellular organisms	2
524443	(433383, 3)	6	2	1	NgoMIV_restric	149922			0	1	species	485	Neisseria gonorrhoeae	9
524449	(465853, 1)	8	2	1	NgoMIV_restric	149922			0	1	species	485	Neisseria gonorrhoeae	9
524450	(433381, 2)	8	2	1	NgoMIV_restric	149922			0	1	species	485	Neisseria gonorrhoeae	9
611702	(634525, 1)	2	2	1	CYCLIN	271412	STKc_Pho85	271873	0	1	no rank	559292	Saccharomyces cerevisiae S288c	15
524473	(560782, 1)	2	1	1	RecN	223571			0	1	no rank	243230	Deinococcus radiodurans R1	10
530912	(268769, 2)	82	41	12	TetR_C	251612			0	0	superkingdom	2	Bacteria	3
630440	(53585, 5)	944	193	65	LbH_AT_putative,LbH_FBP,LbH_GlmU_C,LbH_LpxD,LbH_MAT_GAT,LbH_MAT_like,LbH_SAT,LbH_THP_succinylT,LbH_THP_succinylT_putative,LbH_UDP-GlcNAc_AT,LbH_WxcM_N_like,LbH_XAT,LbH_gamma_CA,LbH_gamma_CA_like,LbetaH	271430			0	0	no rank	1	root	2
659914	(183757, 2)	118	118	7	PRCH	272011	PRK14504,Photo-RC_M	271639	0	0	phylum	1224	Proteobacteria	4
659915	(72943, 12)	118	118	7	PRK14504,Photo-RC_M	271639	PRCH	272011	0	0	phylum	1224	Proteobacteria	4
659916	(207345, 2)	118	118	7	PRCH	272011	PRK14506,Photo-RC_L	271639	0	0	phylum	1224	Proteobacteria	4
659917	(183760, 11)	118	118	7	PRK14506,Photo-RC_L	271639	PRCH	272011	0	0	phylum	1224	Proteobacteria	4
512101	(339399, 1)	24	24	4	CytoC_RC	199085	Photo-RC_L	271639	0	0	phylum	1224	Proteobacteria	4
512102	(92268, 2)	24	24	4	Photo-RC_L	271639	CytoC_RC	199085	0	0	phylum	1224	Proteobacteria	4
542124	(473524, 2)	21	21	1	CytoC_RC	199085	Photo-RC_M	271639	0	1	species	1079	Blastochloris viridis	9
512104	(322990, 1)	24	24	4	Photo-RC_M	271639	CytoC_RC	199085	0	0	phylum	1224	Proteobacteria	4
659919	(56098, 7)	236	118	7	PRK14504,PRK14506,Photo-RC_L,Photo-RC_M	271639	PRK14504,PRK14506,Photo-RC_L,Photo-RC_M		0	0	phylum	1224	Proteobacteria	4
627545	(591212, 2)	92	36	2	TPP_enzyme_M	271677	TPP_PYR_POX_like	264357	0	0	phylum	1224	Proteobacteria	4
667602	(397375, 1)	694	344	9	NOS_oxygenase_euk,NOS_oxygenase_prok	260303			0	0	no rank	131567	cellular organisms	2
657000	(128160, 1)	94	47	21	PLPDE_III,PLPDE_III_AR,PLPDE_III_AR2,PLPDE_III_AR_proteobact	260308			0	0	no rank	1	root	2
513280	(126929, 5)	2630	368	57	Cygb,Globin_like,HGbI_like,Hb,Hb-alpha_like,Hb-beta_like,Mb_like,Ngb,class1_nsHb_like	271881	Hb,Hb-alpha_like,Hb-beta_like		0	0	no rank	131567	cellular organisms	2
543016	(563603, 8)	100	45	6	Urease_alpha	271457			0	0	no rank	131567	cellular organisms	2
543017	(551019, 7)	100	45	6	Urease_alpha	271457			0	0	no rank	131567	cellular organisms	2
543022	(214497, 2)	100	45	6	Urease_beta	260483	Urease_alpha	271457	0	0	no rank	131567	cellular organisms	2
543023	(443159, 4)	100	45	6	Urease_alpha	271457	Urease_beta	260483	0	0	no rank	131567	cellular organisms	2
543033	(289581, 1)	106	47	8	Urease_gamma	260482			0	0	no rank	131567	cellular organisms	2
543031	(547692, 2)	106	47	8	Urease_gamma	260482			0	0	no rank	131567	cellular organisms	2
263	(210049, 1)	1	1	1	bZIP	271882	RHD-n_NFAT	263562	1	1	species	9606	Homo sapiens	32
121536	(210047, 3)	2	2	1	RHD-n_NFAT	263562	bZIP	271882	0	1	species	9606	Homo sapiens	32
265	(210050, 1)	1	1	1	bZIP	271882	RHD-n_NFAT	263562	1	1	species	9606	Homo sapiens	32
121538	(326932, 2)	2	2	1	RHD-n_NFAT	263562	bZIP	271882	0	1	species	9606	Homo sapiens	32
267	(210049, 2)	1	1	1	bZIP	271882			1	1	species	9606	Homo sapiens	32
268	(210050, 2)	1	1	1	bZIP	271882			1	1	species	9606	Homo sapiens	32
666570	(65348, 10)	388	162	46	EF-hand_8,EFh,S-100,S-100A1,S-100A10,S-100A11,S-100A13,S-100A6,S-100B,S-100Z,calgranulins	271644	EF-hand_8,EFh,calgranulins		0	0	no rank	131567	cellular organisms	2
535768	(265324, 2)	220	100	27	Icd,Iso_dh,LeuB,PRK00772,PRK03437,PRK06451,PRK07006,leuB,mito_nad_idh	260425	Iso_dh,mito_nad_idh		0	0	no rank	131567	cellular organisms	2
17338	(157573, 9)	24	9	4	SH2,SH2_C-SH2_Syk_like,SH2_N-SH2_Zap70_Syk_like,SH2_SAP1a,SH2_Src_Lck	265655	SH2_C-SH2_Syk_like,SH2_N-SH2_Zap70_Syk_like		0	1	species	9606	Homo sapiens	32
654986	(65357, 44)	625	250	97	PK_STRAD_alpha,PKc_MEK1,PKc_MEK2,PKc_Mps1,PKc_like,PTKc_Ack_like,PTKc_Btk_Bmx,PTKc_EGFR,PTKc_FAK,PTKc_FGFR1,PTKc_FGFR2,PTKc_InsR,PTKc_Itk,PTKc_Jak1_rpt2,PTKc_Lck_Blk,PTKc_RET,PTKc_Ror2,PTKc_TrkA,STKc_ACVR1_ALK1,STKc_AMPK_alpha,STKc_ASK,STKc_Aurora-A,STKc_CAMK,STKc_CDK6,STKc_CK1_delta_epsilon,STKc_CK2_alpha,STKc_CaMKII,STKc_CaMKI_delta,STKc_Chk1,STKc_Chk2,STKc_DAPK1,STKc_DAPK2,STKc_DAPK3,STKc_EIF2AK2_PKR,STKc_EIF2AK4_GCN2_rpt2,STKc_ERK1_2_like,STKc_GAK,STKc_GSK3,STKc_IKK_beta,STKc_IRAK4,STKc_IRE1,STKc_LIMK2,STKc_LKB1,STKc_MAP3K-like,STKc_MAPK,STKc_MAPK15-like,STKc_MAPK4_6,STKc_MAPKAPK2,STKc_MARK,STKc_MELK,STKc_NIK,STKc_OSR1_SPAK,STKc_PAK1,STKc_PDK1,STKc_PKA,STKc_PKB_beta,STKc_PLK1,STKc_PRP4,STKc_PhKG1,STKc_PhKG2,STKc_PknB_like,STKc_RSK1_C,STKc_Raf,STKc_SLK,STKc_STK10,STKc_SnRK2-3,STKc_SnRK3,STKc_TBK1,STKc_Twitchin_like,STKc_p38alpha,STKc_p70S6K	271873	PK_STRAD_alpha,PKc_MEK1,STKc_LKB1,STKc_MAPKAPK2,STKc_Raf		0	0	no rank	131567	cellular organisms	2
295	(324346, 1)	1	1	1	HLH	260178			1	1	species	4932	Saccharomyces cerevisiae	14
296	(324347, 1)	1	1	1	HLH	260178			1	1	species	4932	Saccharomyces cerevisiae	14
651330	(28812, 1)	260	101	11	PRK05474,PRK12677,TIM_phosphate_binding,xylose_isom_A	271877			0	0	superkingdom	2	Bacteria	3
619923	(50365, 6)	273	29	10	Gln-synt_C	249604	Gln-synt_N	252271	0	0	no rank	131567	cellular organisms	2
651326	(210068, 3)	282	101	11	PRK05474,PRK12677,TIM_phosphate_binding,xylose_isom_A	271877			0	0	superkingdom	2	Bacteria	3
651328	(28811, 2)	296	102	11	PRK05474,PRK12677,TIM_phosphate_binding,xylose_isom_A	271877			0	0	superkingdom	2	Bacteria	3
619965	(70609, 5)	249	30	11	Gln-synt_C	249604			0	0	no rank	131567	cellular organisms	2
524664	(546964, 3)	140	15	3	Gln-synt_C	249604			0	0	superkingdom	2	Bacteria	3
524617	(482311, 3)	170	15	3	Gln-synt_C	249604			0	0	superkingdom	2	Bacteria	3
619967	(336225, 2)	273	29	10	Gln-synt_N	252271	Gln-synt_C	249604	0	0	no rank	131567	cellular organisms	2
647756	(174442, 8)	156	78	46	GST_C_8,GST_C_Beta,GST_C_Delta_Epsilon,GST_C_GTT2_like,GST_C_Sigma_like,GST_C_Ure2p,GST_C_Ure2p_like,GST_C_YfcG_like,GST_C_YghU_like,GST_C_Zeta,GST_C_family	271606			0	0	no rank	131567	cellular organisms	2
668889	(269196, 1)	166	58	21	ADCL_like,Aminotran_4,BCAT_beta_family,D-AAT_like,IlvE,PLPDE_IV,PRK13356	260277			0	0	no rank	131567	cellular organisms	2
377	(35187, 8)	2	1	1	KR	260190	Tryp_SPc	272004	0	1	species	9913	Bos taurus	30
373	(324659, 40)	2	1	1	Tryp_SPc	272004	KR	260190	0	1	species	9913	Bos taurus	30
405919	(391876, 5)	4	3	3	KR	260190	Tryp_SPc	272004	0	0	no rank	1437010	Boreoeutheria	22
405920	(311607, 36)	4	3	3	Tryp_SPc	272004	KR	260190	0	0	no rank	1437010	Boreoeutheria	22
384	(458860, 5)	2	1	1	Thrombin_light	117938	Tryp_SPc	272004	0	1	species	9913	Bos taurus	30
636915	(232861, 9)	353	337	31	Tryp_SPc	272004	Thrombin_light	117938	0	0	no rank	1437010	Boreoeutheria	22
538497	(7610, 79)	423	117	37	COG3591,Tryp_SPc,Trypsin_2	272004			0	0	no rank	131567	cellular organisms	2
271130	(222578, 23)	9	6	5	Tryp_SPc	272004			0	0	no rank	117571	Euteleostomi	14
524690	(412180, 13)	4	1	1	A2M_2	271642			0	1	species	9606	Homo sapiens	32
524702	(474634, 8)	4	1	1	A2M_2	271642	MG1	256769	0	1	species	9606	Homo sapiens	32
524692	(474635, 2)	4	1	1	MG1	256769	A2M_2	271642	0	1	species	9606	Homo sapiens	32
245458	(329473, 3)	6	6	1	REC	271833	CheY-binding	255168	0	0	species	562	Escherichia coli	9
245457	(23945, 1)	6	6	1	CheY-binding	255168	REC	271833	0	0	species	562	Escherichia coli	9
616177	(225747, 72)	46	23	4	Cdc42,H_N_K_Ras_like,Rab8_Rab10_Rab13_like,RagC_like	271875			0	0	no rank	33154	Opisthokonta	4
626410	(430637, 1)	26	23	4	WD40	271593	GGL	260170	0	0	no rank	1437010	Boreoeutheria	22
435	(325047, 1)	1	1	1	GGL	260170	WD40	271593	1	1	species	9913	Bos taurus	30
436	(711493, 4)	1	1	1	WD40	271593	Phd_like_Phd	271479	1	1	species	9913	Bos taurus	30
437	(325048, 2)	1	1	1	Phd_like_Phd	271479	WD40	271593	1	1	species	9913	Bos taurus	30
95280	(218605, 1)	33	11	3	Maltoporin-like	271907			0	0	family	543	Enterobacteriaceae	7
95278	(23649, 2)	33	11	3	Maltoporin-like	271907			0	0	family	543	Enterobacteriaceae	7
546304	(719062, 3)	51	51	51	Ribosomal_L30_N	254613	Ribos_L4_asso_C	258544	0	0	superkingdom	2759	Eukaryota	3
666405	(219597, 2)	514	127	41	NDPk_I	260363			0	0	no rank	1	root	2
524780	(471022, 1)	1	1	1	Lactamase_B	271486			1	1	species	9606	Homo sapiens	32
547427	(21345, 2)	312	143	48	AAT_I,OAT_like	271826			0	0	no rank	131567	cellular organisms	2
563646	(521377, 2)	20	5	3	PHA03376	177613			0	0	species	10376	Human herpesvirus 4	8
563635	(521374, 1)	18	5	3	PHA03376	177613			0	0	species	10376	Human herpesvirus 4	8
563643	(521419, 5)	18	5	3	PHA03376	177613	Ig	271729	0	0	species	10376	Human herpesvirus 4	8
563637	(523405, 1)	18	5	3	Ig	271729	PHA03376	177613	0	0	species	10376	Human herpesvirus 4	8
349194	(710877, 7)	4	2	1	AAMH_A	271450			0	1	species	300	Pseudomonas mendocina	10
667804	(616918, 3)	220	220	206	Ribosomal_L3,rplC	260355	Ribosomal_L19,rplS	241844	0	0	no rank	131567	cellular organisms	2
611074	(217772, 2)	27	11	5	Whirly	192059			0	0	no rank	1437201	Pentapetalae	15
653028	(574972, 5)	266	105	12	Influenza_NA	271951			0	0	family	11308	Orthomyxoviridae	5
653026	(574992, 6)	266	105	12	Influenza_NA	271951			0	0	family	11308	Orthomyxoviridae	5
244769	(293832, 3)	103	38	22	Chemokine,Chemokine_CC,Chemokine_CC_DCCL,Chemokine_CX3C,Chemokine_CXC	260209			0	0	no rank	1437010	Boreoeutheria	22
565	(210099, 1)	1	1	1	Chemokine	260209			1	1	species	9606	Homo sapiens	32
647503	(229911, 4)	80	36	11	APP-like,APP_MetAP,Prolidase	260321			0	0	no rank	131567	cellular organisms	2
647509	(402960, 6)	66	29	4	Prolidase	260321	AMP_N	263653	0	0	no rank	131567	cellular organisms	2
647505	(147062, 2)	66	29	4	AMP_N	263653	Prolidase	260321	0	0	no rank	131567	cellular organisms	2
647511	(224519, 3)	66	29	4	AMP_N	263653			0	0	no rank	131567	cellular organisms	2
537600	(700976, 1)	117	117	117	rplO	264513	rpmI	241835	0	0	species	274	Thermus thermophilus	9
563658	(523414, 3)	20	7	3	CSF-1	191258			0	0	superorder	314146	Euarchontoglires	23
586	(236889, 2)	2	1	1	TPR	271991	PPP5	149395	0	1	species	9606	Homo sapiens	32
484746	(162452, 18)	32	13	9	TPR,TPR_1	271991			0	0	no rank	1	root	2
585	(236889, 5)	2	1	1	PPP5	149395	TPR	271991	0	1	species	9606	Homo sapiens	32
587	(236889, 1)	2	1	1	PPP5	149395			0	1	species	9606	Homo sapiens	32
523636	(240048, 5)	6	3	3	Lipocalin	271948			0	0	superorder	314146	Euarchontoglires	23
592	(134572, 2)	2	1	1	Barstar	260764			0	1	species	1390	Bacillus amyloliquefaciens	10
524913	(565005, 1)	9	3	1	Rubella_E1	114472			0	1	species	11041	Rubella virus	7
524906	(564993, 2)	9	3	1	Rubella_E1	114472			0	1	species	11041	Rubella virus	7
667807	(700673, 3)	224	224	210	Ribosomal_L19,RplS,rplS	241844	Ribosomal_L14,rpl14,rplN,rplN_bact	260358	0	0	no rank	131567	cellular organisms	2
410371	(617310, 1)	57	57	57	rpmA	260380	Ribosomal_L16_L10e	260376	0	0	species	274	Thermus thermophilus	9
401556	(697697, 2)	1	1	1	Ribosomal_L23	241787	PDCD9	254077	1	1	species	9606	Homo sapiens	32
402719	(391821, 2)	16	3	3	PLN02661,SDR	271874			0	0	superkingdom	2759	Eukaryota	3
401287	(61124, 10)	224	55	5	Glyco_hydro_2_C	271943			0	0	species	562	Escherichia coli	9
401241	(486726, 4)	371	100	20	catalase,catalase_clade_1,catalase_clade_2,catalase_clade_3,catalase_fungal,catalase_like	263790			0	0	no rank	131567	cellular organisms	2
582083	(385927, 3)	100	28	14	Aspartase,Fumarase_classII	271406			0	0	no rank	131567	cellular organisms	2
582093	(485228, 2)	102	28	14	Aspartase,Fumarase_classII	271406			0	0	no rank	131567	cellular organisms	2
582091	(214432, 1)	90	28	14	Aspartase,Fumarase_classII	271406			0	0	no rank	131567	cellular organisms	2
668916	(425781, 25)	594	578	90	MHC_I	263546	IgC_beta2m	271729	0	0	no rank	32524	Amniota	18
668917	(351711, 11)	594	578	90	IgC_beta2m	271729	MHC_I	263546	0	0	no rank	32524	Amniota	18
667764	(644310, 3)	220	220	206	Ribosomal_L22	260357	Ribosomal_L32p,RpmF,rpl32,rpmF	271652	0	0	no rank	131567	cellular organisms	2
524951	(476830, 1)	2	1	1	FBP	254147			0	1	species	1280	Staphylococcus aureus	9
527362	(473504, 1)	74	8	5	OTCace_N	251498			0	0	no rank	131567	cellular organisms	2
632384	(71175, 3)	431	128	28	OTCace_N	251498			0	0	no rank	131567	cellular organisms	2
632397	(166726, 4)	431	128	28	OTCace_N	251498			0	0	no rank	131567	cellular organisms	2
632399	(226310, 9)	426	126	28	OTCace_N	251498	OTCace,SDR	271874	0	0	no rank	131567	cellular organisms	2
613016	(473493, 2)	326	103	25	OTCace,SDR	271874	OTCace_N	251498	0	0	no rank	131567	cellular organisms	2
679	(21942, 1)	1	1	1	P53_tetramer	254376			1	1	species	9606	Homo sapiens	32
680	(21943, 1)	1	1	1	P53_tetramer	254376			1	1	species	9606	Homo sapiens	32
683	(58721, 2)	2	1	1	TCL1_MTCP1	250907			0	1	species	9606	Homo sapiens	32
434963	(392144, 1)	15	15	3	prolactin_like,somatotropin_like	263483	FN3	271942	0	1	species	9606	Homo sapiens	32
434964	(19888, 3)	16	15	3	FN3	271942	prolactin_like,somatotropin_like	263483	0	1	species	9606	Homo sapiens	32
434965	(19892, 2)	15	15	3	prolactin_like,somatotropin_like	263483	FN3	271942	0	1	species	9606	Homo sapiens	32
434966	(235646, 1)	17	15	3	FN3	271942	prolactin_like,somatotropin_like	263483	0	1	species	9606	Homo sapiens	32
694	(246626, 7)	2	1	1	C2_PKC_alpha_gamma	271750			0	1	species	10116	Rattus norvegicus	31
668811	(384349, 7)	2423	782	312	11beta-HSD1_like_SDR_c,17beta-HSD-like_SDR_c,17beta-HSDXI-like_SDR_c,3beta-17beta-HSD_like_SDR_c,7_alpha_HSDH_SDR_c,A3DFK9-like_SDR_c,ADH_SDR_c_like,ADP_GME_SDR_e,Arna_like_SDR_e,BKR_3_SDR_c,BKR_SDR_c,BKR_like_SDR_like,BphB-like_SDR_c,CAD_SDR_c,CDP_GD_SDR_e,CDP_TE_SDR_e,CR_SDR_c,ChcA_like_SDR_c,DH-DHB-DH_SDR_c,DHRS1-like_SDR_c,DHRS6_like_SDR_c,ENR_SDR,GDP_FS_SDR_e,GDP_MD_SDR_e,GME-like_SDR_e,Ga5DH-like_SDR_c,GlcDH_SDR_c,HBDH_SDR_c,HSD10-like_SDR_c,HetN_like_SDR_c,KDSR-like_SDR_c,Lin1944_like_SDR_c,MDH-like_SDR_c,Mgc4172-like_SDR_c,PKR_SDR_c,PRK08945,PR_SDR_c,RDH_SDR_c,RhlG_SDR_c,SDH_SDR_c,SDR,SDR_a5,SDR_c,SDR_c1,SDR_c10,SDR_c11,SDR_c12,SDR_c4,SDR_c5,SDR_e,SPR-like_SDR_c,SQD1_like_SDR_e,TDH_SDR_e,TER_DECR_SDR_a,THN_reductase-like_SDR_c,TR_SDR_c,TrkA_N,UDP_AE_SDR_e,UDP_G4E_1_SDR_e,UDP_G4E_2_SDR_e,UDP_invert_4-6DH_SDR_e,UGD_SDR_e,WbmH_like_SDR_e,XR_like_SDR_c,Ycik_SDR_c,carb_red_sniffer_like_SDR_c,cyclohexanol_reductase_SDR_c,dTDP_GD_SDR_e,dTDP_HR_like_SDR_e,haloalcohol_DH_SDR_c-like,hydroxyacyl-CoA-like_DH_SDR_c-like,meso-BDH-like_SDR_c,secoisolariciresinol-DH_like_SDR_c,type1_17beta-HSD-like_SDR_c	271874			0	0	no rank	131567	cellular organisms	2
598343	(185724, 5)	87	16	11	pdxS	271877			0	0	no rank	131567	cellular organisms	2
598351	(470213, 4)	87	16	11	pdxS	271877			0	0	no rank	131567	cellular organisms	2
598341	(185708, 2)	72	9	8	pdxS	271877			0	0	no rank	131567	cellular organisms	2
598355	(137640, 3)	70	9	8	pdxS	271877			0	0	no rank	131567	cellular organisms	2
530063	(240045, 1)	16	8	2	Lipocalin	271948			0	1	species	10090	Mus musculus	32
589888	(65091, 2)	44	23	8	NTF2	271650			0	0	superkingdom	2759	Eukaryota	3
537791	(485817, 10)	200	98	10	Cu_amine_oxid	250421			0	0	no rank	131567	cellular organisms	2
800	(299092, 13)	6	1	1	Cu_amine_oxid	250421			0	1	species	870730	Ogataea angusta	14
780	(209710, 11)	6	1	1	Cu_amine_oxid	250421			0	1	species	870730	Ogataea angusta	14
